agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2020-11-07 16:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 17:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 17:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 17:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 17:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 18:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 18:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 18:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 18:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 19:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 19:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 19:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 19:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 20:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 20:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 20:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 20:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 21:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 21:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 21:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 21:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 22:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 22:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 22:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 22:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 23:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 23:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 23:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 23:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 00:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 00:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 00:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 00:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 01:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 01:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 01:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 01:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 02:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 02:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 02:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 02:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 03:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 03:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 03:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 03:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 04:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 04:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 04:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 04:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 05:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 05:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 05:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 05:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 06:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 06:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 06:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 06:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 07:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 07:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 07:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 07:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 08:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 08:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-08 08:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 08:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 09:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 09:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 09:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 09:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 10:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 10:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 10:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 10:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 11:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 11:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 11:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 11:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 12:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 12:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 12:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 12:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-08 13:00,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 13:15,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 13:30,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 13:45,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 14:00,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 14:15,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 14:30,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 14:45,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 15:00,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 15:15,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 15:30,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 15:45,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 16:00,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 16:15,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 16:30,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 16:45,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 17:00,EST,58.5,P,1.82,P
USGS,02085070,2020-11-08 17:15,EST,58.5,P,1.82,P
